product_id,id_web,nom_produit,prix_unitaire,z_score,ventes_totales,chiffre_affaires,stock
5397,12496,Chili De Martino Viejas Tinajas Cinsault 2013,24.0,-0.3044,0.0,0.0,6
5802,15399,Château Peymartin Saint-Julien 2014,23.8,-0.3116,0.0,0.0,22
4975,14756,Château Cordet Margaux 2013,23.7,-0.3151,4.0,94.8,15
5443,14809,La Rectorie Banyuls Léon Parcé 2016,23.6,-0.3187,5.0,118.0,2
6221,16096,Planeta Sicilia Eruzione 1614 2017,23.5,-0.3223,0.0,0.0,3
4725,16010,François Baur Riesling Grand Cru Brand Clos De La Treille 2017,23.4,-0.3259,0.0,0.0,1
4070,15444,Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018,23.4,-0.3259,7.0,163.8,98
4717,15658,Domaine Schoenheitz Pinot Noir Herrenreben 2017,23.4,-0.3259,6.0,140.4,0
4925,16277,Cave de Castelmaure Corbières Rouge N°3 2017,23.2,-0.3331,12.0,278.4,0
4298,16501,Domaine de La Tour Du Bon Bandol Rouge 2018,23.2,-0.3331,1.0,23.2,36
4084,16014,"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017",23.2,-0.3331,0.0,0.0,14
5795,13291,Château de Chantegrive Graves Blanc Caroline 2016,23.0,-0.3403,0.0,0.0,18
4974,16004,Château du Couvent Pomerol 2017,23.0,-0.3403,5.0,115.0,2
4205,15413,Mas Laval Terrasses du Larzac La Grande Cuvée 2016,23.0,-0.3403,12.0,276.0,0
4130,15339,Zind-Humbrecht Pinot Gris Roche Calcaire 2017,23.0,-0.3403,0.0,0.0,0
4077,15440,Domaine des Bosquets Gigondas 2016,22.9,-0.3439,0.0,0.0,48
4907,14374,Alphonse Mellot Coteaux Charitois Rouge Les Pénitents 2015,22.9,-0.3439,0.0,0.0,6
5382,16011,Nouvelle-Zélande Marlborough Momo Pinot Noir 2016,22.8,-0.3475,0.0,0.0,11
4048,16044,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,22.8,-0.3475,7.0,159.6,22
4876,16289,Tempier Bandol Rosé 2019,22.8,-0.3475,22.0,501.6,4
4707,15466,Albert Mann Pinot Gris Cuvée Albert 2017,22.8,-0.3475,13.0,296.4,13
4096,15564,Paul Ginglinger Pinot Gris Grand Cru Eichberg 2015,22.8,-0.3475,0.0,0.0,12
5047,531,Champagne Petit Lebrun &amp; Fils Blanc de Blancs Grand Cru,22.5,-0.3583,13.0,292.5,129
6328,15810,Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018,22.4,-0.3619,0.0,0.0,7
6635,15763,Domaine de la Monardière Vacqueyras Vieilles Vignes 2016,22.4,-0.3619,1.0,22.4,23
4934,15554,Marcel Richaud Rasteau Rouge 2017,22.2,-0.369,2.0,44.4,57
4098,15378,Paul Ginglinger Pinot Noir Les Rocailles 2016,22.1,-0.3726,1.0,22.1,22
4067,15490,Gilles Robin Crozes-Hermitage Rouge Albéric 2017,22.0,-0.3762,19.0,418.0,31
4731,8344,Domaine Muré Crémant d'Alsace Rosé,22.0,-0.3762,18.0,396.0,7
4671,15527,Domaine Pellé Menetou Salon Rouge Les Cris 2015,21.9,-0.3798,0.0,0.0,24
6887,15736,Gratavinum Priorat 2?r 2017,21.8,-0.3834,0.0,0.0,24
6049,14899,Christophe Pichon Saint-Joseph Blanc 2017,21.8,-0.3834,3.0,65.4,6
4050,16449,Pierre Gaillard Saint-Joseph Blanc 2019,21.8,-0.3834,6.0,130.8,0
4564,15621,Domaine Giudicelli Vin de France Eté Rouge 2018,21.7,-0.387,19.0,412.3,60
5794,14692,Château Fonréaud Bordeaux Blanc Le Cygne 2016,21.7,-0.387,0.0,0.0,34
5484,15756,David-Beaupère Juliénas Vayolette 2017,21.6,-0.3906,1.0,21.6,0
4646,15848,Bernard Baudry Chinon Rouge Le Clos Guillot 2017,21.5,-0.3942,1.0,21.5,34
4183,15746,Borie La Vitarèle Saint-Chinian Les Crès 2016,21.4,-0.3978,0.0,0.0,48
4899,16062,Domaine Brintet Mercurey Blanc Vieilles Vignes 2018,21.2,-0.405,9.0,190.8,35
4792,15733,Maurice Schoech Riesling Grand Cru Kaefferkopf 2018,21.0,-0.4121,19.0,399.0,13
4666,13647,Vincent Carême Vouvray Moelleux 2015,21.0,-0.4121,0.0,0.0,32
4900,16063,Domaine Brintet Mercurey Rouge Vieilles Vignes 2018,20.8,-0.4193,1.0,20.8,42
4066,15967,Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016,20.8,-0.4193,20.0,416.0,65
4662,16081,Pierre Martin Sancerre Les Monts Damnés 2018,20.8,-0.4193,0.0,0.0,24
